book_id	author	title
1864364432	John Ashton	In Six Days: Why 50 Scientists Choose to Believe in Creation
1878529234	Craig Clunas	Chinese Furniture
1884133258	Jamsa Klander	C/C++ Programmer's Bible
1902618351	Mei Lim (Illustrator)	My TV is Alive!: Real Life Robots, Future Computers and Clones
1930110006	David Cross	Data Munging with Perl
014051452X	Richard Cook	The Penguin Guide to Jazz on CD, 5th Ed.
020163371X	Scott Meyers	More Effective C++: 35 New Ways to Improve Your Programs and Designs
020165783X	Martin Fowler, Kendall Scott 	UML Distilled, Second Edition
034538475X	Anne Rice	The Tale Of The Body Thief
037541164X	Gurcharan Das	India Unbound
038071115X	Tracy Kidder	The Soul of a New Machine
039914563X	Tom Clancy	The Bear and the Dragon
042510107X	Tom Clancy 	Red Storm Rising
062593460X	Janet Podleski, Greta Podleski, Ted Martin	Crazy Plates
067100767X	V. C. Andrews 	Rain
067944551X	Geoffrey C. Ward	Jazz: A History of American Music
067976674X	Alice Munro	Selected Stories
076454621X	Kelly L. Murdock	3D Studio Max R3
083512035x	Liu Zongen	Two Years in the Melting Pot
093570261x	Roger L. Dekock	Chemical Structure and Bonding
962593460X	Ryuichi Yoshii	Sushi
0195148665	Andy Clark	Natural-Born Cyborgs: Minds, Technologies, and the Future of Human Intelligence
0199291144	Richard Dawkins	The Selfish Gene: 30th Anniversary edition
0192860925	Richard Dawkins	The Selfish Gene
